Portland Timbers - Los Angeles Galaxy,1.48,1
FC Dallas - Vancouver Whitecaps,1.46,0
Columbus Crew - Philadelphia Union,1.5,1
Toronto FC - Colorado Rapids,1.45,0
Portland Timbers - Los Angeles Galaxy,1.48,1
FC Dallas - Vancouver Whitecaps,1.46,0
Columbus Crew - Philadelphia Union,1.5,1
Toronto FC - Colorado Rapids,1.45,0
Portland Timbers - Los Angeles Galaxy,1.48,1
FC Dallas - Vancouver Whitecaps,1.46,0
Columbus Crew - Philadelphia Union,1.5,1
Toronto FC - Colorado Rapids,1.45,0
Portland Timbers - Los Angeles Galaxy,1.48,1
FC Dallas - Vancouver Whitecaps,1.46,0
Columbus Crew - Philadelphia Union,1.5,1
Toronto FC - Colorado Rapids,1.45,0
Portland Timbers - Los Angeles Galaxy,1.48,1
FC Dallas - Vancouver Whitecaps,1.46,0
Columbus Crew - Philadelphia Union,1.5,1
Toronto FC - Colorado Rapids,1.45,0
Toronto FC - Montreal Impact&nbsp;,1.46,1
New York Red Bulls - Montreal Impact&nbsp;,1.43,0
Sporting Kansas City - San Jose Earthquakes,1.45,1
Toronto FC - Chicago Fire,1.33,1
New York Red Bulls - Columbus Crew,1.37,1
Seattle Sounders - Houston Dynamo,1.36,0
Columbus Crew - Chicago Fire,1.49,1
Toronto FC - Montreal Impact&nbsp;,1.46,1
New York Red Bulls - Montreal Impact&nbsp;,1.43,0
Sporting Kansas City - San Jose Earthquakes,1.45,1
Toronto FC - Chicago Fire,1.33,1
New York Red Bulls - Columbus Crew,1.37,1
Seattle Sounders - Houston Dynamo,1.36,0
Columbus Crew - Chicago Fire,1.49,1
Toronto FC - Montreal Impact&nbsp;,1.46,1
New York Red Bulls - Montreal Impact&nbsp;,1.43,0
Sporting Kansas City - San Jose Earthquakes,1.45,1
Toronto FC - Chicago Fire,1.33,1
New York Red Bulls - Columbus Crew,1.37,1
Seattle Sounders - Houston Dynamo,1.36,0
Columbus Crew - Chicago Fire,1.49,1
Toronto FC - Montreal Impact&nbsp;,1.46,1
New York Red Bulls - Montreal Impact&nbsp;,1.43,0
Sporting Kansas City - San Jose Earthquakes,1.45,1
Toronto FC - Chicago Fire,1.33,1
New York Red Bulls - Columbus Crew,1.37,1
Seattle Sounders - Houston Dynamo,1.36,0
Columbus Crew - Chicago Fire,1.49,1
Toronto FC - Montreal Impact&nbsp;,1.46,1
New York Red Bulls - Montreal Impact&nbsp;,1.43,0
Sporting Kansas City - San Jose Earthquakes,1.45,1
Toronto FC - Chicago Fire,1.33,1
New York Red Bulls - Columbus Crew,1.37,1
Seattle Sounders - Houston Dynamo,1.36,0
Columbus Crew - Chicago Fire,1.49,1
Toronto FC - Montreal Impact&nbsp;,1.46,1
New York Red Bulls - Montreal Impact&nbsp;,1.43,0
Sporting Kansas City - San Jose Earthquakes,1.45,1
Toronto FC - Chicago Fire,1.33,1
New York Red Bulls - Columbus Crew,1.37,1
Seattle Sounders - Houston Dynamo,1.36,0
Columbus Crew - Chicago Fire,1.49,1
Toronto FC - Montreal Impact&nbsp;,1.46,1
New York Red Bulls - Montreal Impact&nbsp;,1.43,0
Sporting Kansas City - San Jose Earthquakes,1.45,1
Toronto FC - Chicago Fire,1.33,1
New York Red Bulls - Columbus Crew,1.37,1
Seattle Sounders - Houston Dynamo,1.36,0
Columbus Crew - Chicago Fire,1.49,1
Toronto FC - Montreal Impact&nbsp;,1.46,1
New York Red Bulls - Montreal Impact&nbsp;,1.43,0
Sporting Kansas City - San Jose Earthquakes,1.45,1
Toronto FC - Chicago Fire,1.33,1
New York Red Bulls - Columbus Crew,1.37,1
Seattle Sounders - Houston Dynamo,1.36,0
Columbus Crew - Chicago Fire,1.49,1
New York Red Bulls - DC United&nbsp;,1.35,1
Portland Timbers - Colorado Rapids,1.41,1
Seattle Sounders - Real Salt Lake,1.4,1
Vancouver Whitecaps - Houston Dynamo,1.48,1
Sporting Kansas City - Colorado Rapids,1.39,0
New York Red Bulls - Philadelphia Union,1.41,1
New York Red Bulls - DC United&nbsp;,1.35,1
Portland Timbers - Colorado Rapids,1.41,1
Seattle Sounders - Real Salt Lake,1.4,1
Vancouver Whitecaps - Houston Dynamo,1.48,1
Sporting Kansas City - Colorado Rapids,1.39,0
New York Red Bulls - Philadelphia Union,1.41,1
New York Red Bulls - DC United&nbsp;,1.35,1
Portland Timbers - Colorado Rapids,1.41,1
Seattle Sounders - Real Salt Lake,1.4,1
Vancouver Whitecaps - Houston Dynamo,1.48,1
Sporting Kansas City - Colorado Rapids,1.39,0
New York Red Bulls - Philadelphia Union,1.41,1
New York Red Bulls - DC United&nbsp;,1.35,1
Portland Timbers - Colorado Rapids,1.41,1
Seattle Sounders - Real Salt Lake,1.4,1
Vancouver Whitecaps - Houston Dynamo,1.48,1
Sporting Kansas City - Colorado Rapids,1.39,0
New York Red Bulls - Philadelphia Union,1.41,1
New York Red Bulls - DC United&nbsp;,1.35,1
Portland Timbers - Colorado Rapids,1.41,1
Seattle Sounders - Real Salt Lake,1.4,1
Vancouver Whitecaps - Houston Dynamo,1.48,1
Sporting Kansas City - Colorado Rapids,1.39,0
New York Red Bulls - Philadelphia Union,1.41,1
New York Red Bulls - DC United&nbsp;,1.35,1
Portland Timbers - Colorado Rapids,1.41,1
Seattle Sounders - Real Salt Lake,1.4,1
Vancouver Whitecaps - Houston Dynamo,1.48,1
Sporting Kansas City - Colorado Rapids,1.39,0
New York Red Bulls - Philadelphia Union,1.41,1
New York Red Bulls - DC United&nbsp;,1.35,1
Portland Timbers - Colorado Rapids,1.41,1
Seattle Sounders - Real Salt Lake,1.4,1
Vancouver Whitecaps - Houston Dynamo,1.48,1
Sporting Kansas City - Colorado Rapids,1.39,0
New York Red Bulls - Philadelphia Union,1.41,1
New York Red Bulls - DC United&nbsp;,1.35,1
Portland Timbers - Colorado Rapids,1.41,1
Seattle Sounders - Real Salt Lake,1.4,1
Vancouver Whitecaps - Houston Dynamo,1.48,1
Sporting Kansas City - Colorado Rapids,1.39,0
New York Red Bulls - Philadelphia Union,1.41,1
Los Angeles Galaxy - New England Revolution,1.5,0
Vancouver Whitecaps - Colorado Rapids,1.4,1
Real Salt Lake - Chivas USA,1.32,1
Real Salt Lake - San Jose Earthquakes,1.46,1
Portland Timbers - San Jose Earthquakes,1.47,1
Los Angeles Galaxy - Toronto FC,1.36,1
Los Angeles Galaxy - New England Revolution,1.5,0
Vancouver Whitecaps - Colorado Rapids,1.4,1
Real Salt Lake - Chivas USA,1.32,1
Real Salt Lake - San Jose Earthquakes,1.46,1
Portland Timbers - San Jose Earthquakes,1.47,1
Los Angeles Galaxy - Toronto FC,1.36,1
Los Angeles Galaxy - New England Revolution,1.5,0
Vancouver Whitecaps - Colorado Rapids,1.4,1
Real Salt Lake - Chivas USA,1.32,1
Real Salt Lake - San Jose Earthquakes,1.46,1
Portland Timbers - San Jose Earthquakes,1.47,1
Los Angeles Galaxy - Toronto FC,1.36,1
Los Angeles Galaxy - New England Revolution,1.5,0
Vancouver Whitecaps - Colorado Rapids,1.4,1
Real Salt Lake - Chivas USA,1.32,1
Real Salt Lake - San Jose Earthquakes,1.46,1
Portland Timbers - San Jose Earthquakes,1.47,1
Los Angeles Galaxy - Toronto FC,1.36,1
Los Angeles Galaxy - New England Revolution,1.5,0
Vancouver Whitecaps - Colorado Rapids,1.4,1
Real Salt Lake - Chivas USA,1.32,1
Real Salt Lake - San Jose Earthquakes,1.46,1
Portland Timbers - San Jose Earthquakes,1.47,1
