Bala - TNS,1.29,0
Caernarfon - Bala,1.39,1
Connahs Q. - TNS,1.37,1
Guilsfield - Bala,1.5,1
TNS - Bangor City,1.18,0
Bala - Penybont,1.34,0
Haverfordwest - Connahs Q.,1.49,1
TNS - Llanelli,1.02,1
Ton Pentre - Bangor City,1.33,1
Newtown - TNS,1.27,1
Llanelli - Ynysgerwn,1.08,1
TNS - Connahs Q.,1.42,1
TNS - Newtown,1.16,1
Cwmbran Celtic - Port Talbot,1.3,1
Airbus - Guilsfield,1.32,1
Barry - TNS,1.2,1
Holyhead - Bala,1.45,1
Port Talbot - Caerau Ely,1.39,1
Connahs Q. - Buckley,1.21,1
TNS - Aberystwyth,1.16,1
Llandudno - Buckley,1.31,0
Port Talbot - Cambrian &amp; Clydach,1.33,0
TNS - Newtown&nbsp;,1.32,1
TNS - Airbus&nbsp;,1.37,1
Connahs Q. - TNS,1.15,1
TNS - Gresford,1.02,1
Bangor City - Conwy Borough,1.42,1
Holywell - Aberystwyth,1.11,0
Undy - Carmarthen Town,1.11,1
Caernarfon - TNS,1.16,1
Airbus - Haverfordwest,1.33,1
Bangor City - Garden Village,1.27,1
Rhyl - Goytre Utd,1.41,1
Afan Lido - Marshfield,1.17,1
Aberystwyth - TNS&nbsp;,1.43,1
Aberystwyth - Holywell,1.28,1
TNS - Bala,1.35,1
Aberystwyth - Caersws FC,1.37,1
Holywell - Newtown,1.29,0
TNS - Carmarthen Town,1.27,1
Aberystwyth - Afan Lido,1.4,1
Aberdare - Bodedern,1.29,1
Afan Lido - Rhydymwyn,1.4,1
Newtown - Cardiff Metropolitan,1.1,1
Penybont - Airbus,1.1,1
Rhoose - Bala,1.11,1
Llanfair United - Aberystwyth,1.32,1
Conwy Borough - TNS,1.12,0
Barry - Prestatyn,1.49,1
Haverfordwest - TNS,1.25,1
TNS - Rhyl,1.25,1
Flint - Caerau Ely,1.46,1
Prestatyn - West End,1.32,1
Pontardawe - Goytre AFC,1.5,1
Bangor City - Aberdare,1.12,1
TNS - Conwy Borough,1.1,0
Monmouth - Bala,1.5,1
Druids - TNS&nbsp;,1.19,1
Aberystwyth - Llandudno,1.3,0
Flint - Neath Athletic,1.4,1
Prestatyn - Druids,1.45,0
Neath Athletic - West End,1.13,1
Buckley - Taffs Well&nbsp;,1.47,1
Caersws FC - Llandudno,1.4,0
Connahs Q. - Druids,1.42,0
Flint - Newport Civil Service,1.25,1
Prestatyn - Goytre Utd&nbsp;,1.21,1
TNS - Bryntirion&nbsp;,1.1,1
FC Cefn - Aberystwyth&nbsp;,1.2,1
Merthyr S. - Bala,1.21,1
Bangor City - Connahs Q.&nbsp;,1.32,1
Llanelli - Prestatyn,1.49,1
Connahs Q. - Cardiff Metropolitan,1.32,1
TNS - Grange Harlequins,1.03,0
Rhyl - TNS,1.3,1
Bangor City - Haverfordwest,1.15,1
Druids - Llanelli,1.3,1
Port Talbot - Caersws FC,1.25,1
Grange Harlequins - Bridgend Town,1.45,0
Cardiff Metropolitan - Bala,1.28,0
Bangor City - Bryntirion,1.06,1
Gwalchmai - Port Talbot,1.15,1
Haverfordwest - Holyhead,1.11,0
Neath Athletic - Rhyl,1.31,0
Newtown - Bridgend Town,1.21,0
