Sweden W - Russia W,1.15,1
Norway W - Portugal W,1.25,1
Portugal W - Canada W,1.19,0
Russia W - Denmark W,1.27,1
Iceland W - Spain W,1.27,0
Russia W - Canada W,1.19,1
Brazil W - Russia W,1.22,1
Portugal W - Brazil W,1.15,1
Brazil W - New Zealand W,1.36,1
Brazil W - Switzerland W,1.43,1
Japan W - Iceland W,1.22,1
Sweden W - China W,1.43,1
USA W - Iceland W,1.1,0
Portugal W - Denmark W,1.46,0
USA W - Switzerland W,1.19,1
France W - Denmark W,1.42,1
Germany W - China W,1.2,1
Japan W - Portugal W,1.31,1
Norway W - USA W,1.32,1
Portugal W - France W,1.13,1
Germany W - Sweden W,1.41,0
Brazil W - China W,1.34,0
Japan W - Denmark W,1.39,0
Russia W - Norway W,1.48,0
Germany W - Japan W,1.5,1
Iceland W - Sweden W,1.29,0
Norway W - Germany W,1.19,1
Portugal W - North Korea W,1.37,1
USA W - Denmark W,1.18,0
Austria W - North Korea W,1.43,1
Germany W - China W,1.1,1
Japan W - Denmark W,1.41,1
Norway W - Iceland W,1.37,0
Sweden W - USA W,1.41,0
Germany W - Iceland W,1.11,1
Russia W - North Korea W,1.39,1
Japan W - China W,1.44,1
Hungary W - Iceland W,1.45,1
Sweden W - USA W,1.45,0
Germany W - Norway W,1.38,1
Portugal W - Hungary W,1.5,0
China W - USA W,1.14,1
Germany W - Japan W,1.45,1
Denmark W - Germany W,1.17,0
Sweden W - China W,1.48,0
USA W - Iceland W,1.12,1
Wales W - Norway W,1.33,1
Germany W - China W,1.14,1
USA W - Norway W,1.25,1
Denmark W - Japan W,1.49,1
USA W - Denmark W,1.31,1
Germany W - Iceland W,1.19,1
Iceland W - USA W,1.26,1
China W - Wales W,1.44,1
USA W - Finland W,1.15,1
Norway W - USA W,1.48,1
Sweden W - Iceland W,1.3,0
Austria W - Faroe Islands W,1.1,1
Romania W - Finland W,1.32,0
China W - Germany W,1.25,1
Norway W - Iceland W,1.38,1
Faroe Islands W - Romania W,1.12,1
Austria W - Faroe Islands W,1.16,1
Germany W - Finland W,1.2,1
Iceland W - Sweden W,1.46,1
Norway W - USA W,1.37,1
Germany W - Denmark W,1.39,1
USA W - Iceland W,1.19,1
Portugal W - Faroe Islands W,1.2,1
