Real Madrid - Kashima,1.13,0
Club America - Real Madrid,1.17,1
Kashima - Auckland City,1.45,1
River Plate - Barcelona,1.18,1
Barcelona - Guangzhou Evergrande,1.14,1
Real Madrid - San Lorenzo,1.09,1
San Lorenzo - Auckland City,1.22,0
Cruz Azul - Real Madrid,1.1,1
Cruz Azul - WS Wanderers,1.41,0
Bayern Munich - Raja Casablanca,1.06,1
Raja Casablanca - Atletico-MG,1.34,0
Guangzhou Evergrande - Bayern Munich,1.08,1
Monterrey - Chelsea,1.43,1
Al Ahly - Corinthians,1.39,1
Hiroshima - Auckland City,1.21,1
Santos - Barcelona,1.26,1
Kashiwa - Al-Sadd,1.5,0
Al-Sadd - Barcelona,1.02,1
Kashiwa - Auckland City,1.21,1
Mazembe - Inter,1.25,1
Seongnam - Inter,1.34,1
Mazembe - Internacional,1.21,0
Mazembe - Pachuca,1.41,0
Al Wahda - Hekari Utd,1.2,1
