Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen
soccer,new-zealand,football-championship,Hawke's Bay - Team Wellington,9,8,249,93,2451,0,2,56162,3,56160,1,2.69,4.02,2.04,0,0,0
soccer,argentina,torneo-federal-a,Gimnasia E.R. - Sportivo Belgrano,9,8,160,4,1955,5,1,39923,21,39781,28,2.48,3.18,2.48,0,0,0
soccer,argentina,superliga,&nbsp;Racing Club - Talleres Cordoba,9,8,160,4,1950,0,1,39732,20,39742,30,2.34,3.12,3.17,0,0,0
soccer,usa,usl-2017,Swope Park - Oklahoma City Energy,9,8,293,137,0,-1,1,0,0,0,0,2.08,3.45,2.98,0,0,0
soccer,colombia,liga-aguila,Ind. Medellin - Petrolera,9,8,183,27,2092,0,1,43739,4,43747,12,1.45,4.01,6.91,0,0,0
soccer,argentina,torneo-federal-a,AH Zapla - Guarani Antonio Franco,9,8,160,4,1955,5,1,39919,17,39780,27,1.44,3.75,6.43,0,0,0
soccer,el-salvador,primera-division,Metapan - Municipal Limeno,9,8,192,36,2145,0,1,45292,2,45295,5,1.68,3.39,4.48,0,0,0
soccer,mexico,liga-de-ascenso,Alebrijes Oaxaca - Zacatepec,9,8,242,86,2429,1,1,55564,7,55563,6,2.01,3.05,3.68,0,0,0
soccer,new-zealand,football-championship,Tasman United - Southern United,9,8,249,93,2451,0,1,56165,6,56166,7,1.91,3.98,3.02,0,0,0
soccer,russia,youth-league,SKA Khabarovsk U21 - Arsenal Tula U21,9,8,266,110,2542,7,1,0,0,59043,6,1.88,3.66,3.26,0,0,0
soccer,mexico,primera-division,&nbsp;Pachuca - Queretaro,9,8,242,86,2428,0,1,55545,12,55550,17,1.72,3.64,4.82,0,0,0
soccer,mexico,liga-de-ascenso,Tampico Madero - Murcielagos,9,8,242,86,2429,1,1,55567,10,55568,11,1.78,3.4,4.04,0,0,0
soccer,mexico,primera-division,&nbsp;Club America - Puebla,9,8,242,86,2428,0,1,55544,11,55542,9,1.74,3.52,4.78,0,0,0
soccer,australia,w-league,&nbsp;Brisbane Roar W - Perth W,9,8,163,7,1999,13,1,41373,8,41365,0,2.31,3.6,2.46,0,0,0
soccer,new-zealand,football-championship,Auckland City - Canterbury,9,8,249,93,2451,0,1,41426,44,56163,4,1.61,4.08,4.14,0,0,0
soccer,japan,j-league-division-2,&nbsp;Mito - V-Varen Nagasaki,9,8,223,67,2381,1,2,54558,5,54554,1,3.44,3.06,2.18,0,0,0
soccer,japan,j-league-division-2,&nbsp;Okayama - Nagoya,9,8,223,67,2381,1,2,54566,13,40320,152,3.66,3.61,1.9,0,0,0
soccer,japan,j-league,&nbsp;Kashima - Urawa,9,8,223,67,2380,0,1,40332,164,40304,136,1.98,3.65,3.45,0,0,0
soccer,japan,j-league-division-2,&nbsp;Chiba - Machida,9,8,223,67,2381,1,1,54550,26,54559,6,1.82,3.59,4.04,0,0,0
soccer,japan,j-league-division-2,&nbsp;Kamatamare - Yamaga,9,8,223,67,2381,1,2,54556,3,54546,22,3.93,3.45,1.87,0,0,0
soccer,australia,a-league,&nbsp;Brisbane Roar - Central Coast Mariners,9,8,163,7,1986,0,1,40326,158,40293,125,1.89,3.87,3.67,0,0,0
soccer,japan,j-league-division-2,&nbsp;Verdy - Renofa Yamaguchi,9,8,223,67,2381,1,1,54551,27,54561,8,1.73,3.71,4.47,0,0,0
soccer,south-korea,k-league-classic,&nbsp;Ulsan Hyundai - Jeonbuk,9,8,279,123,2608,0,1,40315,147,40294,126,2.52,3.23,2.67,0,0,0
soccer,south-korea,k-league-classic,&nbsp;Jeonnam - Incheon,9,8,279,123,2608,0,1,61160,5,61162,7,2.33,3.17,2.98,0,0,0
soccer,hong-kong,premier-league,Guangzhou R&amp;F U19 - Hong Kong Sapling,9,8,211,55,2303,0,2,50742,5,50744,7,3.76,3.97,1.65,0,0,0
soccer,japan,j-league-division-2,&nbsp;Avispa Fukuoka - Shonan,9,8,223,67,2381,1,1,54542,18,54544,20,2.05,3.24,3.57,0,0,0
soccer,indonesia,liga-1,Persela Lamongan - Balikpapan,9,8,215,59,2324,0,1,51305,1,51319,15,1.44,4.04,6.06,0,0,0
soccer,philippines,pfl,Ilocos United - Global,9,8,261,105,2496,0,2,57462,7,57457,2,7.9,6,1.25,0,0,0
soccer,russia,premier-league,&nbsp;SKA Khabarovsk - Arsenal Tula,9,8,266,110,2535,0,2,58823,3,58820,0,2.93,2.89,2.68,0,0,0
soccer,italy,primavera-1-2017-2018,Inter U19 - Verona U19,9,8,220,64,0,-1,1,0,0,0,0,1.5,4,5,0,0,0
soccer,kazakhstan,premier-league,FC Astana - FK Akzhayik,9,8,225,69,2391,0,1,46173,42,54825,7,1.05,11,16.5,0,0,0
soccer,kazakhstan,premier-league,Tobol - Atyrau,9,8,225,69,2391,0,1,46838,41,54818,0,1.23,5.56,10.75,0,0,0
soccer,kazakhstan,premier-league,K. Almaty - Aktobe,9,8,225,69,2391,0,1,54821,3,54819,1,1.1,8.02,13.33,0,0,0
soccer,czech-republic,division-2,&nbsp;Zizkov - Mas Taborsko,9,8,187,31,2111,1,1,44175,20,44187,4,1.87,3.3,3.8,0,0,0
soccer,czech-republic,division-b,Meteor Prague - Cesky Brod,9,8,187,31,2115,5,1,44261,27,44348,0,2.38,3.43,2.4,0,0,0
soccer,czech-republic,division-e,Opava B - Usti,9,8,187,31,2118,8,0,44308,20,83919,3,NaN,NaN,NaN,0,0,0
soccer,czech-republic,msfl,Unicov - Hodonin,9,8,187,31,2113,3,1,44302,14,44409,8,1.63,3.68,4.24,0,0,0
soccer,czech-republic,division-a,Brezova - Horovicko,9,8,187,31,2114,4,1,0,0,44247,13,1.59,4.23,3.78,0,0,0
soccer,hong-kong,premier-league,Yuen Long - Eastern AA,9,8,211,55,2303,0,2,50739,2,50737,0,4.52,4.23,1.52,0,0,0
soccer,romania,liga-2,AFC Hermannstadt - Chindia Targoviste,9,8,265,109,2529,1,1,0,0,58539,4,1.94,3.4,3.28,0,0,0
soccer,slovakia,divison-c-bratislava,Raca - Tomasov,9,8,275,119,2582,9,0,60020,30,60097,14,NaN,NaN,NaN,0,0,0
soccer,slovakia,divison-c-east,Presov B - Svit,9,8,275,119,2580,7,0,60029,1,60030,2,NaN,NaN,NaN,0,0,0
soccer,sri-lanka,champions-league-2017,Renown - Sri Lanka Army,9,8,281,125,0,-1,0,0,0,0,0,NaN,NaN,NaN,0,0,0
soccer,czech-republic,youth-league,Bohemians 1905 U21 - Dukla Prague U21,9,8,187,31,2121,11,2,44580,8,44584,12,2.5,3.75,2.25,0,0,0
soccer,czech-republic,youth-league,Karvina U21 - Ostrava U21,9,8,187,31,2121,11,1,44573,1,44588,16,1.57,4.36,4.12,0,0,0
