Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen
soccer,costa-rica,primera-division,Herediano - Zeledon&nbsp;,9,8,184,28,2097,0,1,43845,1,43854,10,1.49,4,5.92,0,0,0
soccer,spain,tercera-division-2017-2018,Santuxu - SCD Durango,9,8,280,124,0,-1,2,0,0,0,0,2.76,2.98,2.37,0,0,0
soccer,sri-lanka,champions-league-2017,Super Sun - Saunders,9,8,281,125,0,-1,1,0,0,0,0,1.75,3.74,3.59,0,0,0
soccer,turkey,tff-1-lig,Erzurum BB - Altinordu,9,8,292,136,2668,1,1,63612,1,63409,4,1.89,3.42,3.9,0,0,0
soccer,iran,persian-gulf-pro-league,Foolad - Persepolis,9,8,216,60,2328,0,2,51425,2,40322,154,4.44,2.77,1.93,0,0,0
soccer,turkey,super-lig,&nbsp;Kayserispor - Yeni Malatyaspor,9,8,292,136,2667,0,1,46689,8,63422,17,1.73,3.64,4.87,0,0,0
soccer,netherlands,eredivisie,&nbsp;Groningen - Sparta Rotterdam,9,8,248,92,2444,0,1,55930,10,55937,17,1.94,3.67,3.79,0,0,0
soccer,ethiopia,premier-league,Sidama Bunna - Welayta Dicha,9,8,195,39,2163,0,1,46066,1,46075,10,1.8,3,4.5,0,0,0
soccer,tunisia,ligue-professionnelle-1,Bizertin - Stade Tunisien,9,8,291,135,2665,0,1,39290,128,63295,18,1.61,3.47,5.04,0,0,0
soccer,turkey,tff-1-lig,Denizlispor - Boluspor,9,8,292,136,2668,1,2,63397,29,63407,2,3.95,3.24,1.94,0,0,0
soccer,saudi-arabia,division-1,Al Najoom - Al Wehda,9,8,269,113,2551,1,2,59303,15,57283,31,3.08,3.17,2.09,0,0,0
soccer,egypt,premier-league,Petrojet - Alassiouty,9,8,191,35,2142,0,1,45210,10,45225,25,2.02,2.7,4.26,0,0,0
soccer,iran,persian-gulf-pro-league,Esteghlal F.C. - Sanat Naft,9,8,216,60,2328,0,1,40285,117,51428,5,1.82,2.97,4.56,0,0,0
soccer,netherlands,eredivisie,&nbsp;Venlo - Heracles,9,8,248,92,2444,0,1,55948,28,55935,15,2.02,3.63,3.58,0,0,0
soccer,turkey,super-lig,&nbsp;Kasimpasa - Basaksehir,9,8,292,136,2667,0,2,63385,17,63379,11,4.11,3.73,1.84,0,0,0
soccer,tunisia,ligue-professionnelle-1,Etoile Sahel - Stade Gabesien,9,8,291,135,2665,0,1,39118,133,63285,8,1.4,3.84,7.49,0,0,0
soccer,egypt,premier-league,Smouha - El-Entag El-Harby,9,8,191,35,2142,0,1,39055,70,45204,4,1.83,2.83,5.01,0,0,0
soccer,morocco,botola-pro,Olympique Khouribga - Berkane,9,8,245,89,2439,0,2,55799,15,55791,7,2.85,2.88,2.45,0,0,0
soccer,morocco,elite-2,Ittihad Khemisset - Mouloudia Oujda,9,8,245,89,2440,1,2,39153,168,55800,16,2.87,2.86,2.37,0,0,0
soccer,turkey,tff-1-lig,Manisaspor - Balikesirspor,9,8,292,136,2668,1,2,63393,25,63389,21,3.35,3.54,2.01,0,0,0
soccer,netherlands,eredivisie,&nbsp;Feyenoord - Roda,9,8,248,92,2444,0,1,46300,61,46903,106,1.12,8.97,20.67,0,0,0
soccer,gambia,gfa-league,Fortune - Hawks,9,8,202,46,2235,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0
soccer,turkey,super-lig,&nbsp;Galatasaray - Goztepe,9,8,292,136,2667,0,1,46172,41,63406,1,1.34,5.34,8.49,0,0,0
soccer,saudi-arabia,saudi-professional-league,Al-Hilal - Al-Taawon,9,8,269,113,2550,0,1,40292,124,40796,7,1.45,4.36,5.52,0,0,0
soccer,israel,ligat-ha-al,H. Raanana - Sakhnin,9,8,219,63,2337,0,1,51767,8,46804,7,2.54,2.97,2.86,0,0,0
soccer,morocco,botola-pro,Kawkab Marrakech - Moghreb Tetouan,9,8,245,89,2439,0,1,39202,40,39054,69,2.23,2.89,3.21,0,0,0
basketball,usa,nba,&nbsp;Washington Wizards - Orlando Magic,7,6,293,137,3026,0,1,71543,4,71564,25,1.12,0,6.68,0,0,0
basketball,usa,nba,&nbsp;Indiana Pacers - Brooklyn Nets,7,6,293,137,3026,0,1,71555,16,71557,18,1.2,0,4.89,0,0,0
basketball,usa,nba-g-league,Erie BayHawks - Delaware 87ers,7,6,293,137,3030,4,1,71630,16,71631,17,1.68,0,2.1,0,0,0
basketball,usa,nba-g-league,Greensboro Swarm - Lakeland Magic,7,6,293,137,3030,4,2,71635,21,0,0,1.91,0,1.82,0,0,0
basketball,usa,ncaa,Mississippi St. - Southern Miss,7,6,293,137,3031,5,1,71806,167,71924,81,1.08,0,8.13,0,0,0
