Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
hockey,kazakhstan,championship,Nomad Astana - HC Astana,5,4,225,69,3329,0,1,78734,0,78743,9,0.0,0.0,0.0,0,0,0,1,0.6257048424171135,1.0
soccer,europe,euro-u19-women,Spain U19 W - Albania U19 W,9,8,196,40,2198,34,1,47226,1,90886,34,1.01,26.0,41.0,0,0,1,1,0.995142210948713,0.5093633058200093
soccer,netherlands,knvb-beker,&nbsp;De Dijk - Ajax&nbsp;,9,8,248,92,2448,4,2,56047,33,46178,47,24.69,10.74,1.05,0,0,0,2,0.973574065143905,0.44505536802200446
soccer,switzerland,swiss-cup,Munsingen - Young Boys,9,8,284,128,2657,7,2,63055,55,46299,60,19.99,11.16,1.06,0,1,0,2,0.9589513029362713,0.2748063518741274
soccer,greece,greek-cup,Acharnaikos - Olympiakos Piraeus,9,8,207,51,2290,6,2,50284,0,46170,39,22.84,10.18,1.05,0,1,0,2,0.9645592150539898,0.255743516133786
basketball,europe,champions-league,&nbsp;Petrol Olimpija - Bayreuth,7,6,196,40,2853,3,2,0,0,69700,7,2.26,0.0,1.61,0,0,0,1,0.5588908271674485,0.2088041820622489
soccer,austria,ofb-cup,&nbsp;Bad Gleichenberg - Salzburg,9,8,165,9,2011,6,2,0,0,41456,8,21.09,12.04,1.05,0,1,0,2,0.9620333272863657,0.2026998730136807
volleyball,iran,super-league,Paykan - Saipa Alborz,2,1,216,60,3730,0,1,51426,3,85655,2,1.38,0.0,3.1,0,0,0,1,0.7778723055731857,0.19332574129209534
soccer,spain,copa-del-rey,&nbsp;Elche - Atl. Madrid&nbsp;,9,8,280,124,2623,10,2,61312,25,46133,2,12.68,5.71,1.25,0,1,0,2,0.8362521391361019,0.18126069568050962
hockey,austria,alps-hockey-league,HK Olimpija - Jesenice,5,4,165,9,3246,1,2,0,0,71097,18,2.52,4.27,2.2,0,0,0,1,0.49534954087810285,0.1633426598768547
soccer,austria,ofb-cup,Wimpassing - AC Wolfsberger,9,8,165,9,2011,6,2,41718,81,41448,0,17.7,9.21,1.09,0,1,0,2,0.9297987762751593,0.14978517933248434
basketball,japan,b-league,Nishinomiya - Shimane,7,6,223,67,2944,0,1,0,0,70305,15,1.75,0.0,1.97,0,0,0,1,0.6343238308972942,0.14675560542701968
soccer,europe,euro-u17,Denmark U17 - Andorra U17&nbsp;,9,8,196,40,2171,7,1,46625,26,90803,52,1.02,13.83,31.17,0,0,0,1,0.983249950647024,0.14574748299822624
hockey,sweden,hockeyettan-ostra,Arlanda - Nykoping,5,4,283,127,3358,5,2,79170,41,0,0,2.41,5.14,2.01,0,0,0,2,0.560851035140221,0.12605007983350913
basketball,europe,eurocup,&nbsp;Levallois - Torino,7,6,196,40,2852,2,1,0,0,46295,56,1.64,0.0,2.24,0,0,0,1,0.6538611031666172,0.11301907686445645
volleyball,germany,1-bundesliga-women,SC Schweriner W - Potsdam W,2,1,204,48,3720,4,1,84357,40,47169,97,1.25,0.0,4.25,0,0,1,1,0.8165743549906717,0.08287177495335829
soccer,spain,copa-del-rey,&nbsp;Ponferradina - Villarreal&nbsp;,9,8,280,124,2623,10,2,61352,26,46200,69,10.52,5.29,1.29,0,1,0,2,0.7937633362921521,0.08260242695474608
soccer,spain,copa-del-rey,&nbsp;Formentera - Ath Bilbao&nbsp;,9,8,280,124,2623,10,2,62000,25,46180,49,9.99,5.33,1.3,0,1,0,2,0.7853104331743757,0.06967854375562761
basketball,europe,champions-league,&nbsp;Aris - Nanterre,7,6,196,40,2853,3,2,44043,5,68469,58,1.92,0.0,1.84,0,0,0,1,0.5531399297790566,0.06742246214759635
basketball,europe,euroleague,&nbsp;Fenerbahce - Anadolu Efes,7,6,196,40,2851,1,1,46221,90,68380,4,1.29,0.0,3.7,0,0,0,1,0.7891804668981364,0.06221655965033066
