Sport,Country,League,Participants,Bet,HomeOdd,DrawOdd,AwayOdd,ProbaLeague,Kelly,Probability,Prediction
hockey,france,ligue-magnus,Mulhouse - Amiens,2,2.64,4.36,2.04,0.5775862068965517,0.15517241379310343,0.4456508504087417,2
soccer,austria,regionalliga-central,A. Klagenfurt - Vocklamarkt,1,1.81,3.68,3.44,0.611764705882353,0.12647058823529428,0.4834888518196483,1
hockey,united-kingdom,elite-league,Guildford Flames - Dundee,1,1.77,5.1,3.18,0.6511627906976745,0.06976744186046545,0.6440513415435339,1
soccer,austria,regionalliga-west,SV Worgl - Johann,1,2.29,3.55,2.57,0.4888888888888889,0.06296296296296298,0.3859827654487096,1
soccer,austria,regionalliga-west,Kitzbuhel - Wals-Grunau,1,2.31,3.44,2.6,0.4888888888888889,0.06296296296296298,0.3828016573578555,1
soccer,japan,j-league,&nbsp;Albirex Niigata - Sagan Tosu,2,2.73,3.42,2.46,0.4432989690721649,0.04565537555228261,0.3806263615917194,2
soccer,japan,j-league,&nbsp;Kashiwa - Kawasaki Frontale,2,2.67,3.5,2.45,0.4432989690721649,0.04565537555228261,0.3742793033943057,2
soccer,wales,premier-league,Barry - Connahs Q.,2,3.35,3.39,2.01,0.5190839694656488,0.03816793893129766,0.4633666388634426,2
soccer,france,ligue-1,&nbsp;Lille - Marseille,2,3.26,3.46,2.24,0.475,0.037499999999999936,0.4237184457191425,2
soccer,croatia,1-hnl,Rudes - Cibalia,1,2.27,3.17,3.06,0.472972972972973,0.03378378378378399,0.39542269829188104,1
soccer,germany,oberliga-niedersachsen,SVG Gottingen - Sulingen,1,1.99,3.99,2.77,0.5701754385964912,0.032894736842105365,0.3865651518188117,1
soccer,slovakia,fortuna-liga,Trencin - Trnava,1,2.32,3.29,2.72,0.4696132596685083,0.027624309392265303,0.3836924317472417,1
soccer,germany,regionalliga-north,Oldenburg - St. Pauli II,2,2.62,3.31,2.47,0.4324324324324325,0.02702702702702707,0.3667735188772239,2
soccer,bolivia,liga-de-futbol-prof,&nbsp;Real Potosi - Nacional Potosi,1,2.12,3.16,3.23,0.5093167701863354,0.01863354037267073,0.4206405482807945,1
hockey,canada,whl,Red Deer Rebels - Regina Pats,1,2.26,4.4,2.38,0.4633620689655173,0.016163793103448433,0.4211753747074563,1
soccer,poland,division-2,Radomiak Radom - Warta Poznan,1,2.01,3.09,3.34,0.5076923076923077,0.01538461538461533,0.4467359011968475,1
soccer,sweden,division-1-sodra,Angelholms - Ljungskile,1,2.21,3.61,2.64,0.46043165467625896,0.010791366906474826,0.4055618763345027,1
hockey,denmark,metal-ligaen,Sonderjyske Ishockey - Aalborg,1,2.29,4.22,2.46,0.4603174603174603,0.010582010582010543,0.4318706939160593,2
soccer,japan,j-league,&nbsp;Hiroshima - Urawa,2,3.26,3.59,2.08,0.5049019607843137,0.009803921568627416,0.44808754528277306,2
hockey,slovakia,tipsport-liga,Poprad - Liptovsky Mikulas,1,1.82,4.58,3.26,0.5594059405940595,0.008663366336633949,0.5525234245857187,1
soccer,costa-rica,primera-division,Herediano - Cartagines,1,1.43,4.4,6.09,0.7166666666666667,0.008333333333332972,0.6417881958614493,1
soccer,portugal,primeira-liga,&nbsp;Ferreira - Estoril,1,2.1,3.21,3.67,0.5018867924528302,0.0037735849056603765,0.4349391689801371,1
