Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
volleyball,world,world-championship-women,Canada W - Saint Lucia W,2,302,3820,1,87040,0,0.0,0.0,0.0,0,0,1,2,0.5562688604970532,1.0
rugby-union,world,guinness-pro14,Cheetahs - Ospreys,3,302,3574,1,0,82687,1.35,22.24,3.27,0,0,0,1,0.8549160847901229,0.44039061276190306
handball,germany,2-bundesliga,Essen - Elbflorenz,6,204,3148,1,75316,0,1.64,9.11,2.59,0,0,0,2,0.4683916440828153,0.13404676614747899
volleyball,world,club-friendly,Personal Bolivar - Sada Cruzeiro,2,302,3849,2,87711,0,3.34,0.0,1.28,0,0,0,2,0.8035020805047691,0.10172379659323065
soccer,spain,laliga2,Leonesa - Almeria,9,280,2614,1,0,61334,2.13,3.29,3.49,0,0,0,1,0.5153080114294941,0.08637704809276323
soccer,poland,iii-liga-group-iv-2017-2018,MKS Trzebinia Siersza - Karpaty Krosno,9,262,0,1,0,0,2.24,3.49,2.62,0,0,0,0,0.34266061687907967,0.07866889675019603
soccer,netherlands,eredivisie-women,Den Haag W - Excelsior/Barendrecht W,9,248,2450,1,56151,0,1.47,5.2,4.63,0,0,1,1,0.7023044773434279,0.06890974828689177
hockey,russia,vhl,Kurhan - Metallurg Novokuznetsk,5,266,3342,1,78896,0,2.2,3.9,2.69,0,0,0,2,0.41084766823508617,0.06223682103691235
soccer,morocco,botola-pro,Olympique de Safi - RAC Casablanca,9,245,2439,1,55790,0,2.03,3.05,3.62,0,0,0,0,0.36708523561270645,0.05834632615549006
soccer,germany,regionalliga-north,BSV Rehden - Jeddeloh,9,204,2242,2,48744,0,3.0,3.46,2.16,0,0,0,2,0.4897208203890293,0.0498249758968132
baseball,japan,npb,Yokohama Baystars - Hanshin Tigers,8,223,3452,2,80980,80990,1.9,0.0,1.89,0,0,0,1,0.5484348372797381,0.04669576759055809
soccer,poland,ekstraklasa,Sandecja Nowy S. - Slask Wroclaw,9,262,2497,2,0,57484,2.9,3.23,2.46,0,0,0,1,0.37259567270387856,0.04238286886381457
soccer,ukraine,persha-liga,Rukh Vynnyky - Inhulets,9,295,2699,2,0,64552,2.62,3.08,2.44,0,0,0,1,0.40782196150878663,0.04227996244013644
baseball,japan,npb,Chiba Lotte Marines - Orix Buffaloes,8,223,3452,2,80986,80984,2.0,0.0,1.8,0,0,0,1,0.5210666617108966,0.0421333234217931
soccer,uzbekistan,professional-football-league,Obod - Lok. Tashkent,9,298,2713,2,64841,64829,21.5,11.0,1.04,0,0,0,2,0.9630530211183737,0.039378549077717616
soccer,oman,professional-league,Al-Salam - Oman FC,9,255,2485,2,0,57235,2.61,3.21,2.4,0,0,0,1,0.4029914263090875,0.03217864761907972
soccer,russia,youth-league,SKA Khabarovsk U21 - FK Rostov U21,9,266,2542,1,0,59042,1.98,3.54,3.06,0,0,0,1,0.5148662319647181,0.019831774785859138
american-football,usa,nfl,Green Bay Packers - Chicago Bears,1,293,3487,1,81307,81328,1.28,0.0,3.84,0,0,0,1,0.7838360160703542,0.011821787750191222
baseball,usa,mlb,Miami Marlins - Atlanta Braves,8,293,3460,1,81081,81079,1.9,0.0,1.95,0,0,0,1,0.5298381372659107,0.007436067561366796
soccer,germany,oberliga-rheinland-pfalz-saar,Pfeddersheim - Eintracht Trier,9,204,2257,2,49441,0,2.99,3.83,1.91,0,0,0,2,0.5266053175716583,0.006391380837216805
baseball,usa,mlb,Washington Nationals - Pittsburgh Pirates,8,293,3460,1,81101,81092,1.67,0.0,2.28,0,0,0,1,0.5936769749504892,-0.012775301242810493
hockey,finland,mestis,KeuPa - Hermes,5,199,3307,1,78337,78335,2.1,4.75,2.73,0,0,0,1,0.46883630091772793,-0.014039789157064778
