LeagueId,NoData,Bet,Score,AvgOdd
1928,54,1,0.9074074074074074,1.1720370370370372
1928,11,2,0.8181818181818182,1.17
1929,46,1,0.8043478260869565,1.1760869565217391
1929,2,2,0.5,1.165
1930,20,1,0.95,1.167
1932,1,1,1.0,1.15
1932,1,2,1.0,1.24
1934,5,1,0.6,1.19
1935,2,1,1.0,1.21
1935,1,2,1.0,1.16
1936,2,1,1.0,1.115
1936,2,2,1.0,1.1150000000000002
1938,2,1,1.0,1.17
1938,1,2,1.0,1.18
1939,3,1,1.0,1.1600000000000001
1940,5,1,0.8,1.204
1940,2,2,1.0,1.2149999999999999
1942,90,1,0.8111111111111111,1.1728888888888889
1942,2,2,1.0,1.1949999999999998
1943,13,1,0.7692307692307693,1.162307692307692
1943,1,2,1.0,1.23
1945,13,1,0.9230769230769231,1.1953846153846153
1946,18,1,0.8333333333333334,1.1600000000000001
1946,5,2,0.8,1.1800000000000002
1948,1,1,0.0,1.14
1948,2,2,1.0,1.2
1950,24,1,0.6666666666666666,1.195
1951,5,1,0.4,1.1939999999999997
1955,2,1,1.0,1.18
1956,28,1,0.8571428571428571,1.1824999999999999
1956,2,2,1.0,1.21
1959,42,1,0.8571428571428571,1.1616666666666668
1959,7,2,0.7142857142857143,1.1742857142857142
1960,2,1,0.5,1.17
1960,1,2,0.0,1.22
1962,35,1,0.8571428571428571,1.1537142857142857
1962,6,2,1.0,1.175
1963,26,1,0.8076923076923077,1.1780769230769228
1963,11,2,0.5454545454545454,1.17
1964,50,1,0.84,1.1714
1964,9,2,0.7777777777777778,1.2066666666666666
1965,5,1,1.0,1.198
1965,3,2,1.0,1.1533333333333333
1966,16,1,0.875,1.1475
1966,6,2,1.0,1.1249999999999998
1967,6,1,0.6666666666666666,1.1483333333333332
1967,3,2,0.6666666666666666,1.17
1968,4,1,1.0,1.1400000000000001
1968,2,2,1.0,1.12
1969,9,1,1.0,1.1755555555555555
1969,9,2,0.8888888888888888,1.1455555555555554
1970,10,1,0.7,1.1519999999999997
1970,4,2,1.0,1.175
1971,8,1,0.875,1.1925
1971,10,2,0.7,1.1889999999999998
1954,1,1,1.0,1.17
1973,2,1,1.0,1.17
1973,1,2,1.0,1.22
1974,1,1,0.0,1.24
1975,14,1,0.7142857142857143,1.1621428571428571
1975,3,2,1.0,1.2033333333333334
1976,2,1,1.0,1.21
1976,1,2,1.0,1.24
1977,1,1,1.0,1.1
1977,1,2,1.0,1.2
1978,1,1,1.0,1.23
1978,1,2,1.0,1.17
1979,2,1,1.0,1.115
1979,3,2,1.0,1.1733333333333331
1980,2,1,1.0,1.145
1980,1,2,1.0,1.16
1982,1,1,1.0,1.19
1982,2,2,1.0,1.19
1983,1,1,1.0,1.11
1985,4,1,1.0,1.1525
1985,7,2,1.0,1.1385714285714286
1986,11,1,0.7272727272727273,1.198181818181818
1987,21,1,0.8571428571428571,1.1814285714285713
1987,5,2,0.8,1.1839999999999997
1988,28,1,0.8571428571428571,1.19
1988,14,2,0.7857142857142857,1.1907142857142856
1989,68,1,0.8970588235294118,1.174264705882353
1989,41,2,0.7560975609756098,1.181951219512195
1990,36,1,0.8055555555555556,1.1769444444444443
1990,9,2,1.0,1.1688888888888889
1991,31,1,0.6129032258064516,1.1877419354838707
1991,8,2,0.75,1.19
1992,42,1,0.7380952380952381,1.17
1992,24,2,0.7916666666666666,1.1575
1993,18,1,0.7222222222222222,1.1822222222222223
1993,2,2,1.0,1.1400000000000001
1994,32,1,0.875,1.1715624999999998
1994,26,2,0.8461538461538461,1.1734615384615383
1995,17,1,0.7058823529411765,1.1741176470588235
1995,23,2,0.782608695652174,1.17
1996,15,1,0.6666666666666666,1.1673333333333333
1996,3,2,1.0,1.1333333333333333
1997,1,1,1.0,1.14
1998,2,1,0.5,1.22
1998,16,2,0.9375,1.1675
1999,18,1,0.7777777777777778,1.1588888888888889
1999,13,2,0.7692307692307693,1.1953846153846153
2000,2,1,1.0,1.15
2000,1,2,1.0,1.13
2001,18,1,0.8333333333333334,1.151111111111111
2001,4,2,0.75,1.17
2002,2,1,0.5,1.1749999999999998
2002,2,2,0.5,1.14
2005,93,1,0.7419354838709677,1.1939784946236562
2005,6,2,0.8333333333333334,1.2066666666666668
2006,28,1,0.7857142857142857,1.188214285714286
2006,1,2,1.0,1.18
2007,36,1,0.75,1.1802777777777778
2007,3,2,0.0,1.1933333333333334
2008,45,1,0.8444444444444444,1.1802222222222223
2008,3,2,0.3333333333333333,1.21
2009,72,1,0.875,1.1719444444444445
2009,9,2,0.6666666666666666,1.1955555555555555
2011,18,1,0.6111111111111112,1.158888888888889
2011,87,2,0.8620689655172413,1.165287356321839
2013,65,1,0.8769230769230769,1.182
2013,11,2,0.8181818181818182,1.1727272727272726
2014,14,1,1.0,1.1642857142857144
2014,4,2,0.75,1.185
2016,7,1,0.7142857142857143,1.1871428571428573
2016,1,2,1.0,1.2
2017,12,1,0.8333333333333334,1.158333333333333
2017,10,2,0.8,1.1809999999999998
2018,7,1,1.0,1.1785714285714286
2018,3,2,0.6666666666666666,1.1933333333333334
2019,93,1,0.7741935483870968,1.1798924731182794
2019,13,2,0.6923076923076923,1.1946153846153846
2020,2,1,0.0,1.1949999999999998
2021,24,1,0.7083333333333334,1.1741666666666666
2021,33,2,0.7878787878787878,1.1639393939393938
2023,129,1,0.8682170542635659,1.195736434108527
2023,1,2,0.0,1.16
2024,37,1,0.8648648648648649,1.1913513513513514
2024,6,2,0.5,1.1416666666666668
2025,9,1,0.8888888888888888,1.1855555555555555
2025,2,2,1.0,1.2
2026,5,1,0.4,1.174
2027,23,1,0.8260869565217391,1.18
2027,4,2,0.5,1.1975
2028,38,1,0.5526315789473685,1.1857894736842107
2028,5,2,0.8,1.182
2030,60,1,0.8833333333333333,1.1588333333333332
2030,16,2,0.8125,1.1481249999999998
2032,7,1,0.7142857142857143,1.1899999999999997
2032,12,2,0.9166666666666666,1.1491666666666667
2033,1,1,1.0,1.14
2033,1,2,1.0,1.17
2034,1,1,1.0,1.12
2034,5,2,0.8,1.16
2036,90,1,0.8444444444444444,1.1926666666666668
2036,3,2,1.0,1.1933333333333334
2037,486,1,0.8251028806584362,1.1687860082304526
2037,9,2,0.7777777777777778,1.1655555555555555
2040,32,1,0.84375,1.1665625
2041,1,1,1.0,1.17
2042,40,1,0.85,1.19725
2043,16,1,0.875,1.211875
2044,7,1,1.0,1.1857142857142855
2044,1,2,1.0,1.23
2045,13,1,0.7692307692307693,1.1746153846153846
2045,2,2,1.0,1.17
2046,2,1,1.0,1.145
2047,1,1,0.0,1.2
2048,8,1,1.0,1.2125
2049,1,1,0.0,1.14
2050,48,1,0.8333333333333334,1.196875
2050,3,2,1.0,1.2333333333333334
2051,6,1,0.6666666666666666,1.2083333333333333
2052,6,1,1.0,1.1883333333333332
2052,4,2,0.75,1.21
2053,7,1,0.7142857142857143,1.2085714285714286
2054,4,1,1.0,1.165
2055,1,1,1.0,1.21
2055,1,2,1.0,1.21
2056,18,1,0.8333333333333334,1.2038888888888888
2056,2,2,0.0,1.205
2058,8,1,0.625,1.20875
2059,50,1,0.8,1.184
2059,1,2,1.0,1.24
2060,7,1,0.8571428571428571,1.1842857142857144
2060,2,2,1.0,1.22
2061,2,1,1.0,1.1949999999999998
2061,1,2,1.0,1.16
2062,7,1,0.8571428571428571,1.2028571428571428
2064,2,1,0.5,1.23
2067,66,1,0.8787878787878788,1.1748484848484848
2067,3,2,0.6666666666666666,1.2166666666666668
2069,12,1,0.75,1.1891666666666667
2069,1,2,1.0,1.15
2071,235,1,0.8297872340425532,1.1686808510638298
2071,64,2,0.671875,1.17359375
2072,6,1,0.8333333333333334,1.1866666666666665
2072,1,2,0.0,1.17
2074,2,1,0.0,1.22
2076,35,1,0.8,1.1614285714285717
2076,43,2,0.7441860465116279,1.1509302325581396
2079,1,1,1.0,1.16
2080,5,1,0.6,1.1640000000000001
2081,1,1,1.0,1.22
2082,79,1,0.7974683544303798,1.1799999999999997
2082,21,2,0.8571428571428571,1.1723809523809525
2083,41,1,0.7804878048780488,1.2065853658536587
2083,1,2,1.0,1.22
2084,1,1,1.0,1.24
2085,31,1,0.6774193548387096,1.1896774193548387
2085,2,2,0.5,1.185
2087,67,1,0.8656716417910447,1.1853731343283587
2087,8,2,1.0,1.1975
2088,77,1,0.7792207792207793,1.1853246753246756
2088,7,2,0.8571428571428571,1.1642857142857141
2089,15,1,0.9333333333333333,1.172
2089,6,2,0.8333333333333334,1.1800000000000002
2090,20,1,0.8,1.1805
2090,26,2,0.8076923076923077,1.1834615384615383
2091,1,1,1.0,1.22
2092,19,1,0.8421052631578947,1.203157894736842
2093,7,1,0.8571428571428571,1.2100000000000002
2095,7,1,0.7142857142857143,1.2128571428571429
2097,21,1,0.7142857142857143,1.206190476190476
2098,1,1,0.0,1.2
2100,165,1,0.8363636363636363,1.1735757575757577
2100,24,2,0.75,1.2025
2101,7,1,1.0,1.2042857142857142
2101,1,2,0.0,1.18
2102,42,1,0.8571428571428571,1.1554761904761905
2102,44,2,0.8181818181818182,1.1702272727272727
2104,203,1,0.8472906403940886,1.167487684729064
2104,64,2,0.859375,1.17921875
2105,15,1,0.7333333333333333,1.1680000000000001
2105,4,2,0.75,1.1500000000000001
2108,50,1,0.76,1.1708
2108,27,2,0.8518518518518519,1.1814814814814814
2110,91,1,0.8681318681318682,1.1845054945054947
2110,4,2,1.0,1.2
2111,38,1,0.9210526315789473,1.1763157894736842
2111,11,2,1.0,1.1936363636363636
2112,71,1,0.8309859154929577,1.1822535211267606
2112,4,2,1.0,1.1824999999999999
2113,34,1,0.8235294117647058,1.1832352941176472
2114,9,1,0.8888888888888888,1.1888888888888889
2115,3,1,0.6666666666666666,1.1899999999999997
2115,1,2,1.0,1.17
2116,6,1,0.8333333333333334,1.1766666666666665
2117,6,1,0.6666666666666666,1.17
2117,2,2,0.5,1.1949999999999998
2118,3,1,0.6666666666666666,1.1966666666666665
2119,33,1,0.7575757575757576,1.170909090909091
2119,106,2,0.8679245283018868,1.1658490566037738
2121,114,1,0.7105263157894737,1.1817543859649122
2121,11,2,0.7272727272727273,1.1945454545454546
2122,24,1,0.7083333333333334,1.1708333333333334
2122,1,2,1.0,1.15
2123,10,1,0.9,1.184
2123,1,2,1.0,1.23
2124,9,1,1.0,1.1388888888888888
2124,9,2,0.5555555555555556,1.1422222222222222
2126,32,1,0.90625,1.1953125
2126,2,2,1.0,1.2349999999999999
2127,56,1,0.7678571428571429,1.1873214285714284
2127,4,2,0.75,1.18
2128,4,1,0.5,1.1975
2129,5,1,0.8,1.202
2130,3,1,0.6666666666666666,1.1933333333333334
2131,2,1,0.5,1.18
2132,1,1,1.0,1.22
2133,1,1,1.0,1.22
2134,58,1,0.8103448275862069,1.1881034482758621
2134,9,2,0.8888888888888888,1.1700000000000002
2135,40,1,0.7,1.19075
2135,10,2,0.7,1.203
2138,2,1,1.0,1.17
2138,180,2,0.8777777777777778,1.1609444444444443
2139,48,1,0.7291666666666666,1.1489583333333333
2139,45,2,0.7777777777777778,1.1573333333333333
2140,1,1,1.0,1.17
2140,1,2,1.0,1.14
2141,34,1,0.7941176470588235,1.2029411764705882
2142,27,1,0.9629629629629629,1.1837037037037037
2142,5,2,0.8,1.208
2143,11,1,0.9090909090909091,1.1736363636363638
2145,5,1,0.6,1.2260000000000002
2146,248,1,0.8387096774193549,1.1897580645161288
2146,6,2,1.0,1.1966666666666665
2147,4,1,1.0,1.2225
2148,6,1,0.8333333333333334,1.1849999999999998
2149,5,1,0.8,1.212
2150,28,1,0.8214285714285714,1.190357142857143
2150,4,2,0.75,1.2
2151,17,1,0.7058823529411765,1.1852941176470588
2151,1,2,1.0,1.18
2152,19,1,0.7368421052631579,1.203684210526316
2152,4,2,1.0,1.1824999999999999
2153,29,1,0.7931034482758621,1.193448275862069
2153,3,2,1.0,1.2133333333333332
2154,29,1,0.8620689655172413,1.1941379310344828
2154,4,2,1.0,1.19
2155,18,1,0.7777777777777778,1.2161111111111111
2155,1,2,1.0,1.18
2156,3,1,1.0,1.2133333333333332
3862,6,1,0.8333333333333334,1.1866666666666668
3863,124,1,0.8548387096774194,1.1750806451612898
3863,16,2,0.75,1.1962499999999998
3864,46,1,0.717391304347826,1.1852173913043478
3864,4,2,0.75,1.2225
3866,17,1,0.7647058823529411,1.204705882352941
3867,6,1,0.16666666666666666,1.2183333333333335
3869,1,1,1.0,1.23
3870,13,1,0.8461538461538461,1.1576923076923076
3870,10,2,0.8,1.1600000000000001
3871,7,1,0.7142857142857143,1.17
3871,2,2,0.5,1.19
2159,202,1,0.7920792079207921,1.1566336633663366
2159,152,2,0.8157894736842105,1.1624999999999999
2160,54,1,0.7777777777777778,1.1800000000000002
2160,20,2,0.7,1.1824999999999999
2161,29,1,0.7931034482758621,1.1613793103448278
2161,22,2,0.9545454545454546,1.1445454545454548
2163,1,1,1.0,1.17
2164,71,1,0.8309859154929577,1.1616901408450704
2164,28,2,0.7857142857142857,1.1614285714285715
2165,181,1,0.850828729281768,1.1750276243093922
2165,24,2,0.8333333333333334,1.1795833333333332
2166,399,1,0.8270676691729323,1.1734085213032581
2166,57,2,0.8596491228070176,1.1778947368421053
2168,37,1,0.8918918918918919,1.1727027027027026
2168,12,2,0.6666666666666666,1.1683333333333337
2169,141,1,0.8226950354609929,1.1658865248226948
2169,60,2,0.8833333333333333,1.1646666666666663
2170,62,1,0.8225806451612904,1.1641935483870967
2170,32,2,0.875,1.1696874999999998
2171,97,1,0.7938144329896907,1.1688659793814433
2171,40,2,0.775,1.1745
2178,3,1,0.6666666666666666,1.19
2179,6,1,1.0,1.1900000000000002
2181,6,1,0.8333333333333334,1.1483333333333332
2181,4,2,0.75,1.1549999999999998
2184,38,1,0.7894736842105263,1.1763157894736844
2184,2,2,0.5,1.155
2185,2,1,1.0,1.22
2188,5,1,0.8,1.186
2188,1,2,1.0,1.22
2192,1,1,1.0,1.19
2195,38,1,0.868421052631579,1.1544736842105263
2195,21,2,0.9047619047619048,1.160952380952381
2196,72,1,0.75,1.165
2196,29,2,0.8620689655172413,1.157931034482759
2197,44,1,0.9090909090909091,1.1747727272727273
2197,19,2,0.631578947368421,1.1763157894736842
2198,44,1,0.8636363636363636,1.1590909090909092
2198,46,2,0.8478260869565217,1.1658695652173914
2199,27,1,0.7037037037037037,1.1666666666666667
2199,19,2,0.7894736842105263,1.1689473684210527
2203,146,1,0.8082191780821918,1.1771917808219179
2203,18,2,0.8888888888888888,1.1827777777777777
2204,10,1,0.9,1.19
2204,3,2,1.0,1.1933333333333334
2205,18,1,0.9444444444444444,1.1588888888888886
2205,9,2,0.8888888888888888,1.1377777777777776
2206,1,1,1.0,1.23
2207,63,1,0.8888888888888888,1.1912698412698413
2207,11,2,0.9090909090909091,1.1663636363636365
2208,8,1,0.875,1.17
2208,4,2,0.75,1.1749999999999998
2210,35,1,0.8857142857142857,1.1877142857142855
2210,2,2,0.5,1.1749999999999998
2211,35,1,0.8285714285714286,1.1854285714285713
2211,5,2,1.0,1.168
2212,18,1,0.8888888888888888,1.1694444444444445
2212,4,2,0.75,1.1524999999999999
2213,27,1,0.8888888888888888,1.1677777777777778
2213,4,2,1.0,1.19
2214,23,1,0.7391304347826086,1.1665217391304348
2214,5,2,1.0,1.1640000000000001
2216,32,1,0.90625,1.165625
2216,71,2,0.8450704225352113,1.1698591549295774
2217,11,1,1.0,1.153636363636364
2217,6,2,0.6666666666666666,1.1699999999999997
2218,2,1,0.5,1.205
2218,1,2,1.0,1.23
2219,17,1,0.6470588235294118,1.1805882352941177
2219,5,2,1.0,1.2
2220,30,1,0.8666666666666667,1.1729999999999998
2220,6,2,0.8333333333333334,1.1966666666666665
2221,21,1,0.9523809523809523,1.1899999999999997
2221,5,2,1.0,1.204
2222,31,1,0.8709677419354839,1.1580645161290322
2222,7,2,0.8571428571428571,1.172857142857143
2223,69,1,0.8405797101449275,1.1856521739130435
2223,3,2,1.0,1.18
2224,7,1,0.8571428571428571,1.1985714285714286
2225,11,1,1.0,1.1927272727272726
2226,3,1,0.3333333333333333,1.1833333333333333
2227,3,1,1.0,1.1500000000000001
2228,1,1,0.0,1.22
2230,1,1,1.0,1.14
2231,38,1,0.5526315789473685,1.1784210526315793
2231,156,2,0.7628205128205128,1.1713461538461536
2233,21,1,0.9047619047619048,1.1676190476190473
2233,23,2,0.9565217391304348,1.167391304347826
2236,90,1,0.7333333333333333,1.172111111111111
2236,11,2,0.7272727272727273,1.1918181818181817
2237,12,1,0.8333333333333334,1.1874999999999998
2237,1,2,1.0,1.14
2239,105,1,0.819047619047619,1.172952380952381
2239,16,2,1.0,1.2087499999999998
2240,9,1,0.8888888888888888,1.218888888888889
2241,2,1,0.5,1.185
2242,40,1,0.75,1.1800000000000002
2242,10,2,0.8,1.1800000000000002
2243,27,1,0.7777777777777778,1.1970370370370371
2243,5,2,1.0,1.202
2244,32,1,0.78125,1.180625
2244,10,2,0.6,1.2039999999999997
2245,31,1,0.7741935483870968,1.18
2245,9,2,0.8888888888888888,1.167777777777778
2246,30,1,0.9,1.187
2246,5,2,0.4,1.2080000000000002
2247,18,1,0.8333333333333334,1.1805555555555556
2247,2,2,1.0,1.17
2249,30,1,0.8,1.166333333333333
2249,7,2,0.8571428571428571,1.1928571428571428
2250,29,1,0.7931034482758621,1.175862068965517
2250,9,2,0.5555555555555556,1.1866666666666665
2251,62,1,0.7903225806451613,1.1717741935483872
2251,20,2,0.85,1.1824999999999999
2252,35,1,0.8571428571428571,1.174
2252,7,2,0.7142857142857143,1.1842857142857144
2253,35,1,0.8285714285714286,1.1634285714285713
2253,24,2,0.875,1.1670833333333333
2254,21,1,0.8095238095238095,1.1752380952380952
2254,10,2,0.7,1.176
2255,17,1,0.7647058823529411,1.1970588235294117
2255,3,2,1.0,1.2233333333333334
